id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4YBDSEzVNQbvCvVIWNtruF,0.239,0.664,271088,0.382,0.00763,0.0943,-9.977,0.047,123.214,0.126
5ip3FCi89E2eDtId6kcJmo,0.0483,0.475,205120,0.8009999999999999,0.00178,0.239,-3.071,0.0381,141.92,0.296
1YAk839AZQjTDp7vT0f3Tm,0.0421,0.463,234176,0.742,4.69e-06,0.331,-6.143,0.0396,169.93,0.425
3eHkFA3StDR9BU7EVrUFLs,0.314,0.62,232195,0.644,0.0,0.105,-2.713,0.0447,145.87,0.502
7MaKPiTeFwA9GuB3qn8Usf,0.8859999999999999,0.6679999999999999,164049,0.29,0.112,0.106,-14.193,0.209,119.887,0.0616
6wOdpwaVrRtWlVSQNMBNQU,0.106,0.424,342244,0.606,0.000272,0.144,-6.062,0.159,213.788,0.397
3UC76hBkfwLeXMaXCGvnTJ,0.015,0.529,199008,0.943,0.0,0.163,-4.299,0.077,95.152,0.6
5lxkPZ2kaSfkSF9CDyNNXm,0.00233,0.778,200584,0.556,1.19e-06,0.1369999999999999,-6.877999999999999,0.161,137.079,0.294
5oFK0dJQ5auokDaVYY228m,0.00476,0.708,267547,0.4970000000000001,0.0,0.0726,-8.419,0.0414,122.004,0.399
10QngEY3ml2yPt54ZyyP7z,0.113,0.835,169482,0.57,4.75e-06,0.0784,-9.479,0.109,99.964,0.377
7zrfNVEwO2ig1pGVKh9z66,0.106,0.612,187634,0.59,0.00135,0.0949,-6.914,0.0263,117.014,0.494
1e6Wbu8j4BIYPIYrqY12Re,0.996,0.0,197680,0.0197,0.996,0.104,-47.19,0.0,0.0,0.0
5KWV7S3osWbeOMPHCeWVyK,0.109,0.748,250000,0.623,0.0,0.15,-5.08,0.0285,105.045,0.21
0PYmO55JPwEWgtyJbkN6mq,0.721,0.452,279453,0.552,0.0,0.257,-10.28,0.142,74.305,0.522
1lLGOHbOgsrJ2tFQYKNK44,0.0558,0.6679999999999999,180320,0.491,0.0,0.15,-8.997,0.111,74.028,0.49
2iTma4kHADFcTlR24R8hIP,0.743,0.7,175678,0.448,0.463,0.179,-13.015999999999998,0.111,153.99200000000005,0.731
4vWbR3IiMfIbZ3xWh2zpYH,0.996,0.73,224543,0.064,0.964,0.125,-17.62,0.109,98.024,0.326
4Jk6ZV8QsuWNLVzjX8VeE6,0.00214,0.219,294039,0.93,0.0,0.138,-3.3480000000000003,0.114,123.511,0.32
0XN2BcoaKE4Z2hnq1ZeDY1,0.0095,0.58,203760,0.799,0.0,0.0925,-4.146,0.028,109.965,0.583
47OVNnZJzIkrsEiZ4n187p,0.102,0.737,184134,0.792,0.0,0.0532,-4.117,0.0416,104.012,0.5429999999999999
5WggjuxMubr94bo33Aan4K,0.075,0.345,253333,0.79,0.000165,0.101,-2.761,0.065,179.84900000000005,0.208
6XOtuSLtsnZKhvcW9DBaUL,0.00592,0.457,220253,0.5820000000000001,2.39e-05,0.0847,-4.971,0.0285,76.04899999999998,0.335
000xQL6tZNLJzIrtIgxqSl,0.131,0.748,188491,0.627,0.0,0.0852,-6.029,0.0644,120.963,0.524
